type,entry_price,entry_time,exit_price,exit_time,gross_pnl_pips,total_spread_pips,actual_cost_pips,rebate_pips,net_pnl_pips,exit_reason,channel_start,channel_end
long,1.41596,2021-06-06 22:15:03.173,1.41614,2021-06-06 22:22:20.791,1.7999999999984695,0.700000000000145,0.6,0.10000000000014497,1.8999999999986144,upper_bound,2021-06-06 22:15:00,2021-06-06 22:46:00
short,1.41589,2021-06-06 22:15:03.173,1.41572,2021-06-06 22:45:24.381,1.7000000000000348,0.8000000000008001,0.6,0.2000000000008001,1.9000000000008348,lower_bound,2021-06-06 22:15:00,2021-06-06 22:46:00
short,1.41796,2021-06-07 22:37:04.469,1.41787,2021-06-07 22:49:40.551,0.9000000000014552,0.7999999999985796,0.6,0.19999999999857965,1.1000000000000347,lower_bound,2021-06-07 22:37:00,2021-06-07 22:50:00
short,1.41591,2021-06-08 04:17:16.280,1.41583,2021-06-08 04:23:10.334,0.8000000000008001,0.3999999999981796,0.3999999999981796,0.0,0.8000000000008001,lower_bound,2021-06-08 04:17:00,2021-06-08 04:24:00
short,1.41111,2021-06-10 05:31:52.997,1.41092,2021-06-10 05:33:42.961,1.900000000001345,0.7999999999985796,0.6,0.19999999999857965,2.0999999999999246,lower_bound,2021-06-10 05:29:00,2021-06-10 05:34:00
short,1.41093,2021-06-14 04:02:18.871,1.41086,2021-06-14 04:02:54.469,0.700000000000145,0.700000000000145,0.6,0.10000000000014497,0.8000000000002899,lower_bound,2021-06-14 04:01:00,2021-06-14 04:06:00
long,1.41089,2021-06-14 22:45:31.691,1.41083,2021-06-14 22:59:14.603,-0.5999999999994898,1.40000000000029,0.6,0.8000000000002899,0.2000000000008001,upper_bound,2021-06-14 22:45:00,2021-06-14 23:04:00
long,1.41085,2021-06-14 23:03:32.203,1.41088,2021-06-14 23:03:46.964,0.2999999999997449,0.8999999999992347,0.6,0.29999999999923477,0.5999999999989797,upper_bound,2021-06-14 22:45:00,2021-06-14 23:04:00
long,1.4114,2021-06-15 04:49:06.686,1.41137,2021-06-15 04:56:22.053,-0.2999999999997449,1.100000000000545,0.6,0.500000000000545,0.2000000000008001,upper_bound,2021-06-15 04:48:00,2021-06-15 05:03:00
short,1.41129,2021-06-15 04:49:06.686,1.41122,2021-06-15 05:02:52.025,0.700000000000145,0.700000000000145,0.6,0.10000000000014497,0.8000000000002899,lower_bound,2021-06-15 04:48:00,2021-06-15 05:03:00
