scenario,entry_slip,exit_slip,fill_prob,trades,pnl_pips,pnl_usd,win_rate,profit_factor,sharpe,max_dd,avg_win,avg_loss
No slippage (baseline),0.0,0.0,1.0,152,228.89999999999853,2288.9999999999854,65.78947368421053,6.132286995516279,10.132976142402866,1.9288469781395319,2.734999999999932,-0.9291666666665551
Best case,0.1,0.2,0.95,149,184.5000000000352,1845.000000000352,61.74496644295302,4.132427843804625,8.975940314321498,3.4000931532348346,2.645652173913228,-1.1326923076919566
Realistic,0.3,0.6,0.8,128,120.00000000008781,1200.0000000008781,58.59375,2.762114537447204,6.5323340161405,4.71092077087222,2.5080000000006653,-1.2849056603766433
Worst case,0.5,1.0,0.7,137,17.900000000020675,179.00000000020677,46.715328467153284,1.1388673390226758,1.2828986738072212,21.660899653968414,2.2937500000000735,-1.7902777777775556
Extreme,0.8,1.5,0.6,133,-80.19999999993144,-801.9999999993141,35.338345864661655,0.5631808278869684,-5.435447850702262,81.83486238526277,2.2000000000004287,-2.212048192770501
